Title,Year,Genre,Rating,Director,Cast,Votes,Description
Striptease,2015,"Comedy, Crime, Drama",4.5,Andrew Bergman,"Demi Moore, Burt Reynolds, Armand Assante, Ving Rhames",48104,A stripper and single mother gets dragged into a dangerous situation after a congressman takes a fancy to her.
Jungle 2 Jungle,2015,"Comedy, Family",5.2,John Pasquin,"Tim Allen, Martin Short, JoBeth Williams, Lolita Davidovich",25902,"A man learns he has a thirteen-year-old son who was raised in the jungle and brings the boy to New York City, turning his life upside down in the process."
Coming to America,2015,"Comedy, Romance",7.1,John Landis,"Eddie Murphy, Paul Bates, Garcelle Beauvais, Feather",223910,"An extremely pampered African prince travels to Queens, New York and goes undercover to find a wife that he can respect for her intelligence and strong will."
Split Second,2015,"Action, Crime, Horror",6,Tony Maylam,"Rutger Hauer, Kim Cattrall, Alastair Duncan, Michael J. Pollard",16678,"In a flooded future London, Detective Harley Stone hunts a serial killer who murdered his partner, and has haunted him ever since. He soon discovers what he is hunting might not be human."
Mid90s,2015,"Comedy, Drama",7.3,Jonah Hill,"Sunny Suljic, Katherine Waterston, Lucas Hedges, Na-kel Smith",78211,"Follows Stevie, a thirteen-year-old in 1990s-era Los Angeles who spends his summer navigating between his troubled home life and a group of new friends that he meets at a Motor Avenue skate shop."
Perfume: The Story of a Murderer,2012,"Crime, Drama, Fantasy",7.5,Tom Tykwer,"Ben Whishaw, Dustin Hoffman, Alan Rickman, Francesc Albiol",266121,"Jean-Baptiste Grenouille, born with a superior olfactory sense, creates the world's finest perfume. His work, however, takes a dark turn as he searches for the ultimate scent."
Vanilla Sky,2012,"Fantasy, Mystery, Romance",6.9,Cameron Crowe,"Tom Cruise, Penélope Cruz, Cameron Diaz, Kurt Russell",286078,A self-indulgent and vain publishing magnate finds his privileged life upended after a vehicular accident with a resentful lover.
The Retirement Plan,2012,"Action, Comedy, Crime",5.1,Tim Brown,"Nicolas Cage, Ashley Greene, Thalia Campbell, Ron Perlman",7189,"When Ashley and her young daughter Sarah get caught up in a criminal enterprise that puts their lives at risk, she turns to estranged father Matt, currently living the life of a retired beach bum in the Cayman Islands."
Nine 1/2 Weeks,2012,"Drama, Romance",5.9,Adrian Lyne,"Mickey Rourke, Kim Basinger, Margaret Whitton, David Margulies",43881,A woman becomes involved with a man she barely knows. Complications develop during their sexual escapades.
The Lego Movie,2012,"Animation, Action, Adventure",7.7,Phil Lord,"Christopher Miller, Chris Pratt, Will Ferrell, Elizabeth Banks, Will Arnett",388902,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis."
The Guilty,2012,"Crime, Drama, Thriller",6.3,Antoine Fuqua,"Jake Gyllenhaal, Riley Keough, Peter Sarsgaard, Christina Vidal",149245,A demoted police officer assigned to a call dispatch desk is conflicted when he receives an emergency phone call from a kidnapped woman.
Dante's Peak,2012,"Action, Adventure, Thriller",6,Roger Donaldson,"Pierce Brosnan, Linda Hamilton, Jamie Renée Smith, Jeremy Foley",98622,"A volcanologist arrives at a countryside town recently named the second-most desirable place to live in America, and discovers that a nearby long-dormant volcano may awaken at any moment."
The King's Speech,2012,"Biography, Drama, History",8,Tom Hooper,"Colin Firth, Geoffrey Rush, Helena Bonham Carter, Derek Jacobi",708570,"The story ofKing George VI, his unexpected ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer."
17 Again,2012,"Comedy, Drama, Fantasy",6.4,Burr Steers,"Zac Efron, Matthew Perry, Leslie Mann, Thomas Lennon",216708,Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.
Nightmare Alley,2012,"Crime, Drama, Thriller",7,Guillermo del Toro,"Bradley Cooper, Cate Blanchett, Toni Collette, Willem Dafoe",165706,A grifter working his way up from low-ranking carnival worker to lauded psychic medium matches wits with a psychologist bent on exposing him.
Licorice Pizza,2012,"Comedy, Drama, Romance",7.1,Paul Thomas Anderson,"Alana Haim, Cooper Hoffman, Sean Penn, Tom Waits",140583,"The story of Alana Kane and Gary Valentine growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973."
Seppuku,2012,"Action, Drama, Mystery",8.6,Masaki Kobayashi,"Tatsuya Nakadai, Akira Ishihama, Shima Iwashita, Tetsurô Tanba",68992,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
La montaña sagrada,2012,"Adventure, Drama, Fantasy",7.8,Alejandro Jodorowsky,"Alejandro Jodorowsky, Horacio Salinas, Zamira Saunders, Juan Ferrara",48181,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment."
Hackers,2012,"Crime, Drama, Romance",6.2,Iain Softley,"Jonny Lee Miller, Angelina Jolie, Jesse Bradford, Matthew Lillard",75018,Teenage hackers discover a criminal conspiracy with plans to use a computer virus that will capsize five oil tankers.
The Neon Demon,2012,"Horror, Thriller",6.1,Nicolas Winding Refn,"Elle Fanning, Christina Hendricks, Keanu Reeves, Karl Glusman",104078,"An aspiring model, Jesse, is new to Los Angeles. However, her beauty and youth, which generate intense fascination and jealousy within the fashion industry, may prove themselves sinister."
The Craft,2012,"Drama, Fantasy, Horror",6.4,Andrew Fleming,"Robin Tunney, Fairuza Balk, Neve Campbell, Rachel True",107986,"A newcomer to a Catholic prep high school falls in with a trio of outcast teenage girls who practice witchcraft, and they all soon conjure up various spells and curses against those who anger them."
Treasure Planet,2012,"Animation, Adventure, Family",7.2,Ron Clements,"John Musker, Joseph Gordon-Levitt, Emma Thompson, Martin Short, Roscoe Lee Browne",133369,"Jim Hawkins is a teenager who finds the map of a great treasure hidden by a space pirate. Together with some friends, he sets off in a large spaceship, shaped like a caravel, on his quest."
Infinite,2012,"Action, Sci-Fi, Thriller",5.5,Antoine Fuqua,"Mark Wahlberg, Chiwetel Ejiofor, Sophie Cookson, Dylan O'Brien",61120,A man discovers that his hallucinations are actually visions from past lives.
Love at First Sight,2012,"Drama, Romance",6.8,Vanessa Caswill,"Haley Lu Richardson, Ben Hardy, Rob Delaney, Katrina Nare",32873,A 20 year old girl misses her flight at JFK Airport and meets a young British guy who may turn out to be her true love.
Code 8,2012,"Action, Crime, Drama",6.1,Jeff Chan,"Kari Matchett, Robbie Amell, Penny Eizenga, Lawrence Bayne",52603,A super-powered construction worker falls in with a group of criminals in order to raise the funds to help his ill mother.
Fear and Loathing in Las Vegas,2012,"Adventure, Comedy, Drama",7.5,Terry Gilliam,"Johnny Depp, Benicio Del Toro, Tobey Maguire, Michael Lee Gogin",301905,An oddball journalist and his psychopathic lawyer travel to Las Vegas for a series of psychedelic escapades.
Meet the Parents,2012,"Comedy, Romance",7,Jay Roach,"Ben Stiller, Robert De Niro, Teri Polo, Blythe Danner",355782,"Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare."
Body Double,2012,"Crime, Drama, Mystery",6.8,Brian De Palma,"Craig Wasson, Melanie Griffith, Gregg Henry, Deborah Shelton",38371,A young actor's obsession with spying on a beautiful woman who lives nearby leads to a baffling series of events with drastic consequences.
Sweet Home Alabama,2012,"Comedy, Romance",6.2,Andy Tennant,"Reese Witherspoon, Patrick Dempsey, Josh Lucas, Candice Bergen",123794,A young woman who has reinvented herself as a New York City socialite must return home to Alabama to obtain a divorce from her husband after seven years of separation.
No Strings Attached,2012,"Comedy, Romance",6.2,Ivan Reitman,"Natalie Portman, Ashton Kutcher, Kevin Kline, Cary Elwes",244380,"A guy and girl try to keep their relationship strictly physical, but it's not long before they learn that they want something more."
Memory,2012,"Action, Crime, Thriller",5.7,Martin Campbell,"Liam Neeson, Guy Pearce, Taj Atwal, Harold Torres",35258,An assassin-for-hire finds that he's become a target after he refuses to complete a job for a dangerous criminal organization.
National Lampoon's Vacation,2012,"Adventure, Comedy",7.3,Harold Ramis,"Chevy Chase, Beverly D'Angelo, Imogene Coca, Randy Quaid",120285,The Griswold family's cross-country drive to the Walley World theme park proves to be much more arduous than they ever anticipated.
Glory,2012,"Biography, Drama, History",7.8,Edward Zwick,"Matthew Broderick, Denzel Washington, Cary Elwes, Morgan Freeman",144736,"Robert Gould Shawleads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates."
The Secret Garden,2012,"Drama, Family, Fantasy",7.3,Agnieszka Holland,"Kate Maberly, Maggie Smith, Heydon Prowse, Andrew Knott",44549,"A young, recently-orphaned girl is sent to England after living in India all of her life. Once there, she begins to explore her new, seemingly-isolated surroundings, and its secrets."
Night Hunter,2012,"Action, Thriller",5.9,David Raymond,"Henry Cavill, Ben Kingsley, Alexandra Daddario, Stanley Tucci",27118,"A weathered Lieutenant, his police force, and a local vigilante are all caught up in a dangerous scheme involving a troubled, recently-arrested man who's linked to years of female abductions and murders."
The Punisher,2012,"Action, Crime, Drama",6.4,Jonathan Hensleigh,"Thomas Jane, John Travolta, Samantha Mathis, Laura Harring",170761,An undercover FBI agent becomes a vigilante and sets out to unleash his wrath upon the corrupt businessman who slaughtered his entire family at a reunion.
Adventures in Babysitting,2012,"Adventure, Comedy, Crime",6.9,Chris Columbus,"Elisabeth Shue, Maia Brewton, Keith Coogan, Anthony Rapp",49254,A babysitter must battle her way through the big city after being stranded there with the kids she's looking after.
